,DESCR,RAMEAU_concepts2
4058,"La Catalogne, &quot;Dotée d&apos;une forte conscience nationale et d&apos;une vigoureuse identité culturelle, la Catalogne a connu une histoire cahotique qui l&apos;a longtemps privée de toute forme d&apos;existence politique. Ayant recouvré son autonomie depuis deux décennies, elle s&apos;impose à l&apos;Europe par un grand dynamisme économique et culturel&quot; ____","['027534510#Géographie', '02766435X#Conditions_sociales', '028626885#Conditions_économiques']"
4059,"L'autonomie de l'élève et l'intégration des règles en éducation physique, Cette étude recense les modèles théoriques capables de faire comprendre les processus de modifications d&apos;attitudes de l&apos;élève dans la classe, vis-à-vis des contenus d&apos;apprentissage, et vis-à-vis des personnes. Chacun de ces modèles est illustré par des exemples de mises en oeuvre en éducation physique. Une approche globale interprète les conduites des élèves selon leur intégration des règles. ____","['034979565#Projet_individuel_de_formation', '027242412#Relations_maître-élève', '027239489#Méthodologie', '028298969#Autonomie_(psychologie)', '027789853#Étude_et_enseignement', '027278662#Éducation_physique_et_sportive', '050585371#Travail_autonome_(éducation)', '027246159#Pédagogie']"
4060,"De l'innovation, Si vous croyez que les innovations naissent de l&apos;insaisissable inspiration d&apos;inventeurs géniaux ou de l&apos;impénétrable alchimie de chercheurs distingués, ce livre vous privera de vos illusions. Beaucoup de travail a été consacré à expliquer pourquoi les choses sont ce qu&apos;elles sont, bien peu à analyser comment elles changent. A partir de nombreux exemples, cet essai tente de faire comprendre ce qui est vraiment à l&apos;oeuvre dans l&apos;innovation, qu&apos;elle soit technique, artistique ou sociale. A commencer par la motivation de l&apos;innovateur, suffisamment forte pour surmonter l&apos;hostilité des pouvoirs, parfois avec leur secrète complicité. [4ème de couv.] ____","['027330435#Innovation', '269230165#Société']"
4061,"Dictionnaire de géopolitique : états, concepts, auteurs, Les événements internationaux ne cessent d&apos;occuper les médias mais la profusion médiatique favorise la photographie de l&apos;événement au détriment de l&apos;éclairage des dynamiques de longue durée. Pourtant l&apos;actualité est l&apos;expression d&apos;intentions, de postures, et de processus géopolitique dans lesquels interfèrent l&apos;histoire, la géographie et les sciences politiques. Le dictionnaire de géopolitique propose une méthode et des analyses permettant de comprendre la marche des évènements internationaux, en mettant en évidence les invariants géopolitiques des Etats et les dynamiques de longue durée. En ce sens, il est non seulement une source d&apos;information complète mais aussi une méthode. Le dictionnaire de géopolitique comprend quatre parties complémentaires : 1- géopolitiques des états : un bilan géopolitique pou chaque Etat du monde. 2- dynamiques géopolitiques illustrées en cartes : flux, poussées, champs de forces entre les Etats... 3- concepts de la géopolitique : des articles généraux - maritimité, enclavement, insularité, mondialisation, rapport entre idéologie et géopolitique, prolifération étatique, minorités, etc. - illustrés d&apos;exemples pour comprendre les situations et les représentations géopolitiques fondamentales. 4- Auteurs : les idées et les modèles développés par les principaux géopoliticiens ____","['027732428#Géopolitique', '027805905#Relations_internationales', '027534626#Géographie_politique']"
4062,"L'État : une aventure incertaine, La 4ème de couverture indique : &quot;Nous sommes tous citoyens d&apos;Etats qui modèlent notre vie sociale. Construit au cours des siècles à partir d&apos;un prototype expérimenté en Europe occidentale, l&apos;Etat-nation constitue un couple qui paraît bénéficier d&apos;une insolente pérennité. Et s&apos;il venait à disparaître sous les coups répétés d&apos;une mondialisation qui le marginalise et d&apos;une régionalisation qui le déstabilise ? Sera-t-il encore, au XXIe siècle, la forme d&apos;organisation privilégiée des sociétés humaines ? Son passé composé se prolonge dans un présent ambigu pour un futur hypothétique qui exige une recomposition. C&apos;est pour contribuer à nourrir ce débat existentiel que cet ouvrage entend faire le point sur des questions essentielles : D&apos;où vient l&apos;Etat ? En quoi consiste-t-il ? A quoi sert-il ? Comment s&apos;organise-t-il ? La diversité des situations ne peut occulter l&apos;interrogation générique concernant l&apos;Etat qui ne sait plus ce qu&apos;il est et dont l&apos;omnipotence a démontré l&apos;impotence. Entre le &quot; tout Etat &quot; condamné par l&apos;Histoire et &quot; l&apos;Etat ectoplasme &quot; revendiqué par certains, il est urgent et nécessaire de réinventer une forme d&apos;organisation sociale privilégiant la réalisation d&apos;un authentique &quot; Etat de Droit &quot;. &quot; ____",['027297942#État']
4063,"Physique du génie électrique, La 4e de couverture porte : &quot;Professeur agrégé de physique appliquée, Eric Semail a créé un enseignement de physique du génie électrique en licence d&apos;ingénierie électrique de l&apos;Université des Sciences et Technologies de Lille. Celui-ci répond bien à la nécessité d&apos;intégrer la formation de l&apos;électricien, outre la matière traditionnellement affectée à l&apos;électrotechnique, d&apos;autres aspects de la physique, notamment la mécanique et la thermique. L&apos;accueil enthousiaste réservé à cet enseignement a incité Eric Semail à en faire bénéficier les enseignants et les étudiants de 2e année de BTS et d&apos;IUT, ainsi que les élèves des écoles d&apos;ingénieurs et de 2e cycle universitaire. La première partie de cet ouvrage rappelle les notions de mécanique, de thermique et d&apos;électromagnétisme indispensables pour aborder les appplications du génie électrique. La seconde partie propose trente exercices, avec corrigés détaillés, liés à des applications très diverses du génie électrique. Dans sa préface, Guy Séguier souligne la qualité pédagogique exceptionnelle des énoncés qui stimule et oriente le lecteur ainsi que l&apos;exhaustivité des corrigés montrant le cheminement logique qui mène pas à pas à la solution. &quot; ____","['027247015#Physique', '027233030#Électromagnétisme', '027474518#Électrotechnique']"
4064,"Images et imaginaires de la ville à l'époque moderne, Inspiré par un des axes d&apos;enseignement du DEA Sciences de la Ville de l&apos;Université François-Rabelais, ce livre croise réflexion méthodologique et études de cas appartenant aux espaces français, allemands, anglais et italiens au long d&apos;une époque moderne largement taillée. ____","['027255778#Villes', '027966216#Dans_l#c#art', '027267768#Géographie_urbaine', '029765978#Représentations_sociales', '028054679#Dans_la_littérature', '02726470X#Histoire']"
4065,"Découvrir les formes géométriques avec les 5-6 ans, La découverte des formes géométriques relève de deux types d&apos;approches complémentaires : manipuler des formes et en découvrir intuitivement des propriétés, appréhender l&apos;espace et le volume à travers des activités plastiques, physiques, pluridisciplinaires. La progression proposée permet de développer de nombreuses compétences : observer, tracer, découper, assembler ... ____","['027308901#Perception_spatiale', '027789861#Étude_et_enseignement_(préscolaire)', '027227545#Géométrie']"
4066,"La nouvelle histoire d'Israël : essai sur une identité nationale, Le temps est venu d&apos;écrire la nouvelle histoire d&apos;Israël. Une histoire nouvelle, car, depuis que les archives couvrant les années de fondation de l&apos;État ont été ouvertes, le débat historiographique fait rage. Des cénacles universitaires aux grands quotidiens, historiens et témoins disputent de questions essentielles pour l&apos;identité nationale et l&apos;avenir du pays : dans quelles conditions le foyer national juif - le Yichouv - s&apos;établit-il en Palestine au XIXe et au XXe siècle dans une terre déjà habitée ? Quelle fut l&apos;attitude des dirigeants du Yichouv face au génocide des Juifs d&apos;Europe, puis à l&apos;égard des survivants ? Quelle fut la nature exacte de la proclamation de l&apos;Indépendance le 15 mai 1948 ? Israël pouvait-il être juif et démocratique, laïque et moderne tout en refusant la séparation de la religion et de l&apos;État ? Ce débat historiographique marque le délitement du récit national sioniste qui tenait lieu jusqu&apos;à hier d&apos;identité consensuelle. Ilan Greilsammer en restitue l&apos;ampleur, les origines comme la portée. Les chercheurs remettent également en cause le récit des événements, de 1948 à l&apos;assassinat de Rabin. Car ils ont tous, comme citoyens, participé à des conflits. Témoins, ils posent, à partir des événements dont ils sont les contemporains et les acteurs, des questions qui reflètent les affrontements à propos de la reconnaissance de l&apos;Autre palestinien et de l&apos;avenir du pays. Des questions et des débats qu&apos;Ilan Greilsammer noue dans une histoire nouvelle. ____","['029251133#Identité_collective', '027261794#Historiographie', '030288185#Mémoire_collective']"
4067,"Park, Dos Passos : Metropolis : regards croisés sur la modernité urbaine aux Etats-Unis, Le romancier John Dos Passos et le sociologue Robert Ezra Park comptent parmi les plus importants penseurs américains du XXe siècle. L’essai de Pierre Saint-Arnaud confronte ces deux auteurs dans la double perspective de la sociologie de la connaissance et de l’épistémologie.Il montre que leurs écrits ont été produits à partir d’une commune fascination pour l’écologie urbaine, et que Manhattan Transfer et U.S.A., les deux plus célèbres fictions de Dos Passos, s’apparentent à une construction sociologique par leur ancrage profond dans la réalité urbaine américaine de la première moitié de ce siècle.Au fil de l’analyse, il ressort que Park et Dos Passos partagent une représentation commune idéalisée de leur société malgré leurs positions idéologiques diamétralement opposées : le sociologue privilégie le futur, l’écrivain semble subjugué par les valeurs du passé. Enfin, à la lumière d’approches théoriques majeures telles que le néo-marxisme, le postmodernisme et la sémiotique sociale, l’auteur examine l’actualité de plusieurs idées émises par Park et Dos Passos. ____","['027255778#Villes', '027331296#Sociologie_urbaine', '028054679#Dans_la_littérature', '02778987X#Thèmes,_motifs']"
4068,"La science à l'époque moderne : actes du colloque de 1996, Le mouvement des astres et le nombre des hommes ont été les premières applications des talents des mathématiciens. Initiation à des savoirs révolus, ce recueil est aussi une découverte des statuts sociaux des savants et du rang de l&apos;arithmétique politique parmi les connaissances et les techniques de l&apos;âge moderne. ____",['027248275#Sciences']
4069,"Apprentissages numériques et résolution de problèmes : cours moyen (première année), L&apos;ouvrage aborde les thèmes suivants : problèmes pour apprendre à chercher, champ additif, connaître les nombres naturels et les calculs, champ multiplicatif, mesures, fractions et décimaux/ Les situations proposées sont organisées en progressions et planifiées sur l&apos;année. Une partie théorique précise les enjeux d&apos;enseignement-apprentissage et une partie pratique est consacrée à la description d&apos;activités d&apos;entraînement qui visent à consolider les connaissances. ____","['16719402X#Chez_l#c#enfant', '032249187#Didactique', '027790649#Étude_et_enseignement_(primaire)', '027241181#Nombre,_Idée_de', '027243575#Nombres']"
4070,"L'école contre l'exclusion : actes VIII, Le rôle de l&apos;école dans la lutte contre l&apos;exclusion. Réflexions sur le civisme et la citoyenneté comme objets d&apos;enseignement et sur la langue et la culture comme facteurs d&apos;intégration. Colloque des &quot;Entretiens Nathan&quot; de novembre 1997. ____","['033835640#Exclusion_sociale', '02743902X#Écoles', '027248976#Sociologie_de_l#c#éducation', '027264998#Enseignement', '049647490#Sociologie', '02724525X#Prévention', '027232573#Échec_scolaire', '027616908#Intégration_scolaire']"
4071,"L'Afrique du Nord dans la guerre, 1939-1945, L&apos;Afrique du Nord est le terrain où commencent à s&apos;épanouir la force renaissante et l&apos;espérance immortelle de la France&quot;, déclarait Charles de Gaulle lors d&apos;un discours prononcé à Constantine en 1943. Il soulignait ainsi le rôle clé qu&apos;allait jouer cette région en servant de tremplin pour la libération du territoire métropolitain. Mais le destin de l&apos;Afrique du Nord, de 1939 à 1945, ne saurait être réduit à ce rôle. Devenue partie intégrante de la zone contrôlée par Vichy après l&apos;Armistice et reprise en main par le général Weygand, elle vit se jouer les luttes de pouvoir qui opposèrent, entre autres, l&apos;amiral Darlan, le général Giraud et le général de Gaulle, ainsi que le drame de l&apos;armée d&apos;Afrique, écartelée entre sa volonté de fidélité à Pétain et la nécessité du ralliement aux Alliés. A travers cet ouvrage, première synthèse exhaustive sur le sujet, ayant bénéficié de l&apos;exploitation d&apos;archives totalement inédites, Christine Levisse-Touzé, historienne et docteur ès lettres, retrace les faits et tire au clair l&apos;imbroglio politique qui succéda au débarquement des troupes alliées en 1942. Soulignant aussi les traumatismes vécus par les populations locales qui payèrent un lourd impôt du sang lors des campagnes de France et de Tunisie, elle montre comment cette situation, favorisant un regain des nationalismes, a constitué un élément déterminant dans la chute des empires coloniaux. Un aspect trop facilement négligé d&apos;une époque riche en rebondissements spectaculaires. ____",['028047273#Guerre_mondiale_(1939-1945)']
4072,"Les données géographiques françaises pour la gestion des milieux naturels, &quot;La &quot;donnée&quot; est aujourd&apos;hui reconnue comme un élément fondamental des systèmes d&apos;information géographique. Le choix des données à intégrer dans un SIG conditionne non seulement la qualité des résultats attendus, mais également l&apos;ensemble du fonctionnement d&apos;un SIG. Le préalable indispensable à ce choix réside dans la connaissance de l&apos;offre en produits d&apos;information géographique numérique. Il s&apos;agit d&apos;obtenir une information précise, complète et à jour sur les caractéristiques et les conditions d&apos;acquisition de ses produits, permettant de les comparer et d&apos;apprécier leur adéquation aux besoins des utilisateurs. Pour répondre à ce besoin, l&apos;Office National des Forêts a travaillé en collaboration avec la société Générale d&apos;Infographie. Afin de décrire les différents types de produits proposés sur le marché (bases de données vecteur, images satellites...), sept modèles de fiches, comportant des rubriques communes et des rubriques spécifiques, ont été définis. À partir de la documentation, forcément hétérogène, établie par les producteurs de données, chaque produit est décrit selon un modèle de fiche spécifique. Les fiches renseignées ont été communiquées aux producteurs pour validation. Cet ouvrage recense ainsi cinquante produits couvrant (ou destinés à couvrir) le territoire national et susceptibles de répondre aux besoins de l&apos;Office National des Forêts et de tout organisme impliqué dans l&apos;aménagement et la gestion des milieux naturels.&quot;24e de couverture ____","['027534510#Géographie', '02736075X#Systèmes_d#c#information', '030380898#Système_d#c#information_géographique', '027239489#Méthodologie', '031744702#Gestion_des_ressources_naturelles', '234853832#Géographie_(discipline)']"
4073,"Prématurité : le préterme, La prématurité se définit comme une naissance survenant avant la 37e semaine d&apos;aménorrhée ; pour un terme inférieur à 33 semaines, on parle de grande prématurité. Chaque année, les enfants prématurés représentent 6 % des naissances en France. Destiné aux pédiatres, aux spécialistes et aux équipes soignantes exerçant en maternité ou en service de néonatologie, cet ouvrage présente, de la physiologie au devenir, en passant par la clinique, l&apos;ensemble des connaissances actuelles sur la prise en charge de l&apos;enfant prématuré. Réalisé par l&apos;équipe médicale du centre néonatal de l&apos;Institut de Puériculture de Paris, très didactique, avec de nombreux tableaux et schémas, ce livre apportera une réponse adaptée à toute question précise que se pose le soignant dans des situations très diverses. ____","['027237583#Néonatologie', '028686217#Accouchement_prématuré', '027585301#Prématurés']"
4074,"Le contentieux électoral, La 4ème de couv. indique : &quot;En France, mais aussi dans les autres Etats européens, les élections législatives donnent lieu à un contentieux important qui peut porter sur les conditions de la campagne électorale, le financement des candidats et des partis, l&apos;organisation du débat politique à la radio ou à la télévision. Qui va juger les candidats et, en définitive, les élus ? L&apos;excès de formalisme ne risque-t-il pas de paralyser le processus démocratique ? Cet ouvrage dresse un panorama comparatif des procédures de contrôle des élections dans les différents pays européens. Le contentieux électoral est un élément essentiel de l&apos;Etat de droit.&quot; ____","['027517500#Contentieux_électoral', '027467155#Droit_électoral']"
4075,"Typologie des classes et pédagogies des activités physiques et sportives, Les classes d&apos;EPS peuvent se répartir en trois &quot;profils&quot; auxquels se rattachent des caractéristiques relationnelles et d&apos;apprentissage. Applications aux sports collectifs de collège : circulation, déviation, sports duels ____","['027790282#Étude_et_enseignement_(secondaire)', '027278662#Éducation_physique_et_sportive']"
4076,"Le bébé et les interactions précoces, La compréhension enrichie des interactions précoces doit beaucoup à la psychopathologie des liens. On est sorti de l&apos;alternative de sa &quot;majesté le bébé&quot; et de l&apos;être en survie entièrement dépendant de sa mère. Se glisse dans les travaux contemporains une conscience critique de la détermination idéo-culturelle des modèles en usage.[extrait 4e de couv.] ____",['029264014#Mères_et_nourrissons']
4077,"La grande histoire des Français sous l'Occupation : juin 1940-juin 1942, La 4e de couverture indique: &quot;Rassemblés dans le même volume, Les Beaux Jours des collabos et Le Peuple réveillé ne paraîtront nullement provocateurs à ceux qui savent toute l&apos;importance, et pour la collaboration et pour la Résistance, de cette année 1941, axe autour duquel tournent les deux livres. Lorsque, le 21 juin 1941, les Allemands attaquent l&apos;Union soviétique, le collaborationnisme français, qui se nourrissait jusqu&apos;alors d&apos;anglophobie et d&apos;antisémitisme, trouve sa véritable raison d&apos;être : l&apos;antibolchevisme. La collaboration d&apos;Etat, telle qu&apos;elle avait été évoquée à Montoire lors de la rencontre Pétain-Hitler, est soudain dépassée et la lutte de l&apos;Allemagne revêt, pour bon nombre de Français, l&apos;allure d&apos;une croisade à laquelle ils s&apos;associeront jusque sur le front de l&apos;Est. Le 21 juin 1941, &quot; l&apos;entrée en Résistance &quot; des communistes, qui n&apos;avaient jusqu&apos;alors réagi qu&apos;individuellement, modifie la forme et le rythme du combat, commencé avec l&apos;appel du général de Gaulle le 18 juin 1940, poursuivi en zone occupée par la difficile implantation du premier réseau de renseignements, en zone non occupée par la création des premiers mouvements, et, dans toute la France, par la naissance de modestes journaux clandestins. A travers Les Beaux Jours des collabos et Le Peuple réveillé, les hommes s&apos;affrontent de plus en plus violemment et s&apos;efforcent de mobiliser un peuple aux prises avec mille problèmes quotidiens nouveaux et encore sous le choc de la défaite militaire de juin 1940.&quot; ____",['028047273#Guerre_mondiale_(1939-1945)']
4078,"La communication dans l'entreprise, Au sommaire : - la communication dans l&apos;entreprise : atouts et paradoxes ;- la communication interne dans l&apos;entreprise : gadget ou levier extraordinaire ?- la communication écrite ; - la communication orale et de face à face ;- la communication structurée au sein de la stratégie d&apos;entreprise ;- les déviances dans la communication ;- la communication dans l&apos;entreprise : cinq axes à maîtriser ____","['027690342#Communication_dans_les_organisations', '027875431#Communication_en_gestion', '027296849#Relations_professionnelles']"
4079,"De Lattre, La 4e de couverture indique: &quot;La dernière joie de Jean de Lattre de Tassigny fut d&apos;apprendre, à la veille de sa mort le 11 janvier 1952, qu&apos;il était élevé, et lui seul, à la dignité de Maréchal de France. Maréchal, le &quot; roi Jean &quot;, comme on l&apos;appelait par admiration mêlée parfois d&apos;agacement, l&apos;était de toute origine. Saint-Cyrien de la promotion précédant celle de Charles de Gaulle et Alphonse Juin, deux hommes avec lesquels il entretiendra des rapports compliqués, Jean de Lattre est de tous les combats de la première moitié du XXe siècle. Le lieutenant de cavalerie qui chargeait l&apos;ennemi à la lance en 1914 achève prématurément, comme commandant en chef et haut-commissaire en Indochine, une carrière riche et tumultueuse. Du Maroc de Lyautey au 6 février 1934, Jean de Lattre se signale par son courage, son dynamisme et son génie de la mise en scène. Mais ce grand soldat à la gloire éclatante est aussi une personnalité tourmentée, ambiguë et déconcertante, à qui les aventures et les drames n&apos;ont pas manqué. Pierre Pellissier a puisé aux sources les plus variées et les plus sûres les éléments d&apos;une biographie saisissante, mais sans complaisance ni parti pris.&quot; ____","['02731135X#Guerre_d#c#Indochine_(1946-1954)', '027279731#Maréchaux']"
4080,"Petits spectacles à jouer en maternelle, Vivre et créer ensemble est un des objectifs des Instructions officielles en maternelle. 17 spectacles vont y conduire les enfants, grâce à la construction d&apos;un spectacle, de sa conception à sa représentation sur scène. ____","['027789861#Étude_et_enseignement_(préscolaire)', '027348199#Théâtre_en_éducation', '050123882#Théâtre_et_enfants', '027253066#Théâtre', '027232948#Éducation_préscolaire']"
4081,"100 questions posées à l'entretien d'embauche, Conseils de professionnels de recrutement pour éviter les pièges, bien répondre aux questions, savoir analyser sa personnalité, valoriser ses atouts, etc. ____","['027610845#Recherche_d#c#emploi', '027818675#Entretiens_de_recrutement', '027233138#Demandes_d#c#emploi', '027798887#Recrutement']"
4082,"Les bibliothèques en France : 1991-1997, Il manquait dans la littérature bibliothéconomique française un type d&apos;ouvrage déjà couramment publié en Grande-Bretagne ou aux Etats-Unis : un bilan de l&apos;activité des bibliothèques du pays pour une période donnée. Ce livre, qui couvre les années 1991-1997, se propose de combler cette lacune, avec l&apos;objectif avoué d&apos;une publication renouvelée tous les cinq ans. Les années considérées par cet ouvrage ont été en quelque sorte rythmées par l&apos;édification et l&apos;ouverture du nouveau bâtiment de la Bibliothèque nationale de France dans le quartier de Tolbiac à Paris mais aussi par les importants chantiers scientifiques qui, de manière moins visible, y étaient liés. A cette occasion, alors qu&apos;elles entraient dans l&apos;ère du numérique, les bibliothèques sont devenues objets de débat public. Les collections des bibliothèques françaises, leurs publics, l&apos;espace même de leur action, leurs relations avec les acteurs du marché du livre, avec d&apos;autres institutions éducatives et culturelles, leur rayonnement international, les cadres statutaires et législatifs qui régissent leur fonctionnement sont envisagés par les auteurs de ce bilan selon une perspective transversale qui s&apos;efforce de dépasser les clivages institutionnels entre catégories d&apos;établissements. Si l&apos;important appareil bibliographique et chronologique sous-tendant les divers chapitres et les annexes de ce livre en fait un outil de référence indispensable à tous ceux qui veulent mieux connaître et mieux comprendre les bibliothèques en France, l&apos;effort de synthèse des auteurs, qui n&apos;exclut pas un regard personnel sur cette période, confère également à ces pages une fonction très précieuse de réflexion et de prospective. ____","['027791017#Formation', '027282686#Services_de_documentation', '027386996#Bibliothécaires', '027229424#Bibliothèques']"
4083,"Des chaînes à la liberté : choix de textes français sur les traites négrières et l'esclavage de 1615 à 1848, Recueil de textes politiques, philosophiques et littéraires sur l&apos;esclavage de l&apos;Antiquité au XIXe siècle : Aristote, Saint-Paul, Père J.B. Labat, Code noir, J.F. Melon, Montesquieu, Voltaire, Condorcet, Abbé Raynal, L&apos;Encyclopédie, Isaac Guy Le Chapelier, J.M. Pellerin, Viefville des Essarts, Abbé Grégoire, B. Constant, Victor Hugo, J.E. Morenas, P. Mérimée, A. Bissette, A.-E. Corbière, V. Schoelcher, Mg. J.B. bouvier, T. Canot, A. de Lamartine, Petit de Baroncourt, Henri Wallon, etc. ____","['027344762#Traite_des_esclaves', '027264890#Colonies_françaises', '027912868#Abolitionnistes', '02724525X#Prévention', '027224309#Mouvements_antiesclavagistes', '02726470X#Histoire']"
4084,"Quels modèles pour les filles  : une recherche sur les albums illustrés, 537 albums ont été analysés au travers d&apos;une grille d&apos;observation destinée à l&apos;analyse statistique : combien et de quel sexe sont les personnages représentés, dans quelles fonctions, dans quels lieux, quelles actions, quelles relations aux autres ? ____",['027821668#Stéréotype_(psychologie)']
4085,"L'école primaire dans le Rhône : 1815-1940, Cette publication présente de multiples aspects de l’histoire de l’école et permet d’en saisir les principaux caractères et les grandes évolutions en abordant les thèmes suivants : la scolarisation et l’alphabétisation à différentes époques, la formation des maîtres, les écoles normales, les locaux scolaires, la pédagogie et les contenus de l’enseignement, les livres…Plus de 70 documents, pris dans l’ensemble du département, sont mis en valeur : lois et règlements, rapports d’inspecteurs, photographies de classes, photographies et plans d’écoles, statistiques, documents pédagogiques, extraits d’ouvrages et de cahiers, emploi du temps, diplômes… ____","['027288757#Enseignement_primaire', '027439038#Écoles_primaires', '02726470X#Histoire']"
4086,"Le pouvoir de bâtir : urbanisme et politique édilitaire à Milan, XIVe-XVe siècles, Ce livre se propose de dégager la cohérence idéologique, la portée politique et l&apos;efficacité économique de la politique des grands travaux que les Visconti et les Sforza mènent dans leur capitale, Milan, aux XIVe et XVe siècles. En éprouvant leur pouvoir de bâtir, les princes tentent d&apos;imposer à la ville l&apos;idée qu&apos;ils se font d&apos;eux-mêmes. Mais bâtir n&apos;est pas seulement occuper l&apos;espace, c&apos;est aussi aménager le temps, le temps de la mémoire d&apos;une cité : la magnificence princière se heurte ici aux logiques sociales qui trament l&apos;espace urbain. Le système monumental milanais (le Dôme, le château, l&apos;hôpital) dit à la fois l&apos;ambition et l&apos;impuissance, l&apos;orgueil et l&apos;instabilité. Que cherchent les princes bâtisseurs ? D&apos;abord, sans doute, oeuvrer à la construction de leur Etat : la mise en place d&apos;une magistrature édilitaire à l&apos;échelle ducale, les rapports du prince avec ses architectes et ingénieurs dévoilent la double nature, bureaucratique et  personnelle, de l&apos;Etat princier territorial de la fin du Moyen Âge. Mais celui-ci ne pèserait pas lourd sans l&apos;appui des élites urbaines, que l&apos;étude des retombées économiques de la politique édilitaire permet d&apos;appréhender. Mettant en rapport la forme d&apos;une ville et celle d&apos;un pouvoir, on tente de révéler l&apos;une par l&apos;autre. Milan, à la fin du Moyen Âge, ne sera jamais la cité princière que les Visconti et les Sforza avaient rêvée, mais demeurera la capitale de l&apos;abondance chantée par Bonvesin della Riva. Quant à l&apos;Etat milanais, son inachèvement même permet peut-être de mieux comprendre les mécanismes idéologiques, culturels et sociaux qui sont à l&apos;oeuvre dans la construction des systèmes politiques. ____","['027775925#Politique_urbaine', '027254925#Urbanisme']"
4087,"Le théâtre à Rome, Depuis 240 av. J.-C., date de la première représentation théâtrale officielle à Rome, jusqu&apos;au VIe siècle après J.-C., le théâtre ne cessa, sous ses diverses formes, de susciter l&apos;enthousiasme du public romain. Genre riche d&apos;oeuvres nombreuses et variées, mal connu souvent, faute de textes complets, ce théâtre méritait une synthèse qui en présentât les différentes facettes. &quot;Le Théâtre à Rome&quot; adopte un point de vue chronologique. L&apos;ouvrage accorde aux grands genres, comédie et tragédie, la place qu&apos;ils méritent en soulignant l&apos;intérêt des fragments conservés. Les ouvres de Plaute, de Térence et de Sénèque font l&apos;objet d&apos;un résumé et d&apos;une analyse qui met l&apos;accent sur leur valeur littéraire. La question controversée des origines, les conditions matérielles des représentations, la mystérieuse disparition des grands genres, le mime et la pantomime sont traités dans des chapitres qui obéissent à un souci de concision et de clarté. Sans prétendre apporter de réponses définitives, ils font le point sur nos connaissances et proposent quelques pistes. Ils tentent, modestement, de guider le lecteur à travers une histoire complexe et surprenante, pour lui laisser entrevoir la richesse de cette littérature, en même temps que l&apos;ampleur de notre perte. ____",['028222326#Écrivains_latins']
4088,"L'éducation physique et sportive : au cycle 2, Nouvelles propositions d&apos;enseignement de l&apos;EPS au cycle 2 : les unités d&apos;apprentissage, cycles de plusieurs séances centrés sur l&apos;acquisition d&apos;une compétence. Construction en 3 temps : une situation de référence, des situations d&apos;apprentissage et un retour à la situation de référence ____","['027790649#Étude_et_enseignement_(primaire)', '027278662#Éducation_physique_et_sportive']"
4089,"L'enseignement des langues-cultures en Suède : un enjeu multidimensionnel, Les présentes recherches s&apos;appuient sur le constat suivant : l&apos;enseignement des langues-cultures occupe une place importante au sein du système éducatif suédois. Ce constat vaut aussi bien pour les langues étrangères que pour les langues-cultures d&apos;origine et cette langue seconde qu&apos;est le suédois pour les élèves d&apos;origine immigrée. Par ailleurs, il ne concerne pas uniquement le cadre scolaire puisque la loi suédoise garantit aux migrants adultes le droit de suivre des sessions d&apos;apprentissage du suédois dans le cadre de l&apos;éducation pour adultes. Il a donc paru évident d&apos;orienter les recherches en vue de répondre à la double interrogation suivante : pourquoi et comment la Suède favorise-t-elle l&apos;enseignement des langues-cultures? Le point de départ pour ce travail de recherche consiste en l&apos;hypothèse selon laquelle le milieu éducatif suédois (englobant le milieu social et le milieu scolaire) doit comporter des données constitutives spécifiques, propres à accorder à l&apos;enseignement des langues-cultures une place de choix au sein du système éducatif de ce pays. L&apos;expérience suédoise en matière d&apos;enseignement des langues-cultures met en lumière différents enjeux et influences émanant essentiellement du milieu éducatif de ce pays nordique. Dans la mesure où le milieu social est ici envisagé comme jouant un rôle déterminant pour les options suivies dans tout système éducatif et par là, dans le domaine de l&apos;enseignement des langues-cultures, la Suède constitue de nos jours un terrain fertile en matière d&apos;investigations : en effet, ce pays se trouve depuis quelques années à un tournant de son histoire avec une déterioration de la conjoncture économique, une alternance de pouvoir politique et l&apos;entrée dans l&apos;union Européenne en 1995. Et les années 90 marqueront également l&apos;histoire du système éducatif suédois, qui vient de voir une des plus grandes réformes de son temps se mettre en place, ce qui a une incidence directe sur l&apos;aménagement de l&apos;enseignement des langues.","['027343553#Langues_vivantes', '027789853#Étude_et_enseignement', '027249611#Suédois_(langue)', '028624238#Acquisition_linguistique', '027343553#Langues_vivantes', '027789853#Étude_et_enseignement', '027249611#Suédois_(langue)', '028624238#Acquisition_linguistique']"
